id,name,city,address_1,address_2,lat,lon
14849012,"DreamWorks Animation SKG","Glendale","1000 Flower Street",,34.157467,-118.285118
1494016,"Columbia Memorial Space Center","Downey","12400 Columbia Way",,33.920216,-118.134087
1494572,"UCLA Boelter Hall, Room 9413","Los Angeles","405 Hilgard Avenue",,34.072853,-118.438736
14955392,"YouTube Space LA","Los Angeles","12422 West Bluff Creek Drive",,33.977169,-118.407036
1499901,"Shopzilla Inc","Los Angeles","12200 West Olympic Blvd # 300",,34.03212,-118.455177
1503516,"Los Angeles Airport Marriott","Los Angeles","5855 West Century Boulevard",,33.946079,-118.384386
1506716,"Q Connects","Los Angeles","6080 Center Drive, 6th floor",,33.977261,-118.392342
15079052,"Satellite Santa Monica","Santa Monica","3110 Main Street: The Annex (right next to 31ten), 3rd floor, Santa Monica, CA",,34.019455,-118.491188
1508729,"Hilton LAX","Los Angeles","5711 W. Century Blvd",,33.946205,-118.381599
1508969,"LAX Hilton","Los Angeles","5711 W Century Blvd",,33.946207,-118.3816
15104432,"Compton/Woodley Airport","Compton","901 West Alondra Boulevard",,33.88868,-118.239334
1533331,"eHarmony Inc","Santa Monica","2401 Colorado Ave","Suite A200 (2nd Floor)",34.029077,-118.473396
15342362,"Cross Campus","Santa Monica","820 Broadway Santa Monica, CA 90401",,34.018742,-118.488945
15408752,"Sony","Los Angeles","6080 Center Drive, Los Angeles, CA 90045 ",,33.976456,-118.39183
1541296,"Children's Hospital Los Angeles","Los Angeles","4650 Sunset Blvd",,34.098049,-118.290932
1542652,"V Lounge","Santa Monica","2020 Wilshire Boulevard",,34.031723,-118.482498
15506672,"Hilton San Francisco Union Square","San Francisco","333 O'Farrell Street",,37.785946,-122.411057
1552443,"Coloft - Santa Monica","Santa Monica","920 Santa Monica Blvd., ",,34.020535,-118.490027
15528722,"Cross Campus","Santa Monica","820 Broadway",,34.019016,-118.488411
15710882,"Intuit Payment Solutions","Woodland Hills","21215 Burbank Boulevard",,34.173912,-118.593109
15803192,"Google LA office","Venice","340 Main St",,33.99551,-118.477043
1586419,"Fox Digital Media","Los Angeles","10201 West Pico Blvd",,34.05019,-118.41066
15914252,"Sony Building, 9th Floor","Los Angeles","6080 Center Dr",,33.97677,-118.39173
15949102,"Cross Campus","Santa Monica","820 Broadway",,34.018768,-118.488907
15988992,"Glendale Adventist Medical Center","Glendale","1509 Wilson Terrace",,34.152134,-118.23156
16037772,"Von Neumann Hall, Chapman University","Orange","545 W. Palm ",,33.791645,-117.857742
1606991,"Los Angeles Convention Center","Los Angeles","1201 South Figueroa Street",,34.040466,-118.271919
1607591,"NextSpace LA","Culver City","9415 Culver Blvd",,34.024181,-118.394379
1613715,"Fairplex","Pomona","1101 W McKinley",,34.087738,-117.769348
